AFFGEOID,GEOID,busstop_count,bus_mean_service,busstop_mean_coverage
1400000US42003050100,42003050100,30.0,2864.18333333,39195.6666667
1400000US42003080600,42003080600,17.0,2652.28235294,29753.8823529
1400000US42003090200,42003090200,11.0,2308.81818182,71906.3636364
1400000US42003111400,42003111400,9.0,3027.22222222,33853.3333333
1400000US42003140500,42003140500,15.0,3274.2,49114.2666667
1400000US42003192000,42003192000,10.0,4283.9,126057.8
1400000US42003250300,42003250300,7.0,2487.11904762,42387.4285714
1400000US42003261500,42003261500,29.0,2329.86206897,47924.2758621
1400000US42003402000,42003402000,20.0,669.0,1221650.95
1400000US42003410000,42003410000,0.0,0.0,0.0
1400000US42003425000,42003425000,26.0,954.038461538,201503.576923
1400000US42003430200,42003430200,31.0,2613.75806452,499490.645161
1400000US42003456004,42003456004,0.0,0.0,0.0
1400000US42003468700,42003468700,9.0,1879.33333333,365726.111111
1400000US42003473602,42003473602,23.0,1328.82608696,165216.043478
1400000US42003479000,42003479000,2.0,0.0,463369.0
1400000US42003484600,42003484600,21.0,667.0,118133.857143
1400000US42003486900,42003486900,21.0,2385.47619048,78518.3333333
1400000US42003490002,42003490002,1.0,0.0,22312746.0
1400000US42003501000,42003501000,21.0,561.142857143,1623459.04762
1400000US42003516100,42003516100,20.0,1159.925,43952.1
1400000US42003523600,42003523600,6.0,967.0,458871.333333
1400000US42003552000,42003552000,4.0,485.0,160120.5
1400000US42003561200,42003561200,14.0,2739.10884354,34303.8571429
1400000US42003980000,42003980000,10.0,2972.33333333,174729.3
1400000US42003980800,42003980800,9.0,1315.66666667,125926.222222
1400000US42003980900,42003980900,4.0,676.25,125500.5
1400000US42007604100,42007604100,12.0,1262.0,1595305.66667
1400000US42007605001,42007605001,0.0,0.0,0.0
1400000US42019912700,42019912700,0.0,0.0,0.0
1400000US42129800200,42129800200,0.0,0.0,0.0
1400000US42129802200,42129802200,16.0,900.0,3687612.9375
1400000US42003462600,42003462600,20.0,1229.75,89781.95
1400000US42003468800,42003468800,7.0,2039.28571429,1427488.28571
1400000US42003472200,42003472200,8.0,3662.75,81201.625
1400000US42003473200,42003473200,7.0,1732.21428571,64433.5714286
1400000US42003475101,42003475101,20.0,278.5,345065.95
1400000US42003475304,42003475304,4.0,0.0,2404127.5
1400000US42003480101,42003480101,24.0,1266.52777778,143546.041667
1400000US42003498000,42003498000,0.0,0.0,0.0
1400000US42003500300,42003500300,0.0,0.0,0.0
1400000US42003512900,42003512900,7.0,3219.85714286,120205.0
1400000US42003518001,42003518001,19.0,860.842105263,208947.578947
1400000US42003523800,42003523800,22.0,543.0,286863.363636
1400000US42003526302,42003526302,16.0,1157.0,2238429.75
1400000US42003552100,42003552100,10.0,485.0,289781.4
1400000US42003560500,42003560500,15.0,1310.71666667,37347.2
1400000US42003561500,42003561500,18.0,1063.22275132,88953.3888889
1400000US42003562800,42003562800,13.0,1812.46153846,245429.923077
1400000US42003980100,42003980100,4.0,2706.5,416523.25
1400000US42003980600,42003980600,21.0,1372.16666667,91138.047619
1400000US42005951900,42005951900,0.0,0.0,0.0
1400000US42019912800,42019912800,0.0,0.0,0.0
1400000US42003010300,42003010300,29.0,2996.7683908,51953.5517241
1400000US42003030500,42003030500,29.0,2388.45517241,25672.9310345
1400000US42003050900,42003050900,9.0,2332.0,68348.7777778
1400000US42003070600,42003070600,12.0,3965.69444444,29773.1666667
1400000US42003080700,42003080700,14.0,3426.30952381,26687.5
1400000US42003101700,42003101700,15.0,1216.4,43667.6
1400000US42003120400,42003120400,13.0,1137.88461538,79606.9230769
1400000US42003130400,42003130400,16.0,3681.78125,29056.5
1400000US42003140800,42003140800,38.0,1300.89078947,62142.7894737
1400000US42003180700,42003180700,15.0,666.0,34511.3333333
1400000US42003270100,42003270100,27.0,2781.2037037,70867.6666667
1400000US42003310300,42003310300,4.0,1642.0,474110.0
1400000US42003401200,42003401200,7.0,669.0,1295133.28571
1400000US42003408001,42003408001,0.0,0.0,0.0
1400000US42003413201,42003413201,4.0,1183.5,31223290.25
1400000US42003416000,42003416000,4.0,1225.5,4168830.75
1400000US42003418000,42003418000,11.0,1225.5,616122.0
1400000US42003426800,42003426800,0.0,0.0,0.0
1400000US42003429500,42003429500,30.0,1100.34444444,316580.6
1400000US42003432300,42003432300,13.0,2076.61538462,283255.384615
1400000US42003446000,42003446000,13.0,1262.0,1961890.46154
1400000US42003457100,42003457100,8.0,1136.0,213878.625
1400000US42003457200,42003457200,28.0,1825.0,168554.821429
1400000US42125771200,42125771200,0.0,0.0,0.0
1400000US42129800100,42129800100,0.0,0.0,0.0
1400000US42129800400,42129800400,0.0,0.0,0.0
1400000US42019911502,42019911502,0.0,0.0,0.0
1400000US42003051000,42003051000,22.0,2371.31818182,34123.4090909
1400000US42003080400,42003080400,30.0,3346.64444444,23901.4666667
1400000US42003110600,42003110600,4.0,4744.0,84726.25
1400000US42003140300,42003140300,29.0,1737.27011494,40593.7241379
1400000US42003191100,42003191100,13.0,560.307692308,121298.0
1400000US42003250900,42003250900,16.0,627.0,50678.3125
1400000US42003281500,42003281500,12.0,1114.16666667,71598.3333333
1400000US42003423000,42003423000,8.0,2972.33333333,186584.375
1400000US42003427000,42003427000,25.0,1148.92,190986.2
1400000US42003430100,42003430100,18.0,3484.0,191665.444444
1400000US42003448000,42003448000,20.0,1262.0,1891232.7
1400000US42003455000,42003455000,0.0,0.0,0.0
1400000US42003463900,42003463900,18.0,974.833333333,80972.6111111
1400000US42003478200,42003478200,21.0,3892.55952381,83680.4761905
1400000US42003486800,42003486800,34.0,2195.68137255,56979.1470588
1400000US42003492900,42003492900,22.0,1689.36363636,243984.318182
1400000US42003507000,42003507000,6.0,1018.0,220391.666667
1400000US42003521500,42003521500,54.0,1702.41666667,624278.777778
1400000US42003552200,42003552200,8.0,1600.0,470555.0
1400000US42003980500,42003980500,4.0,913.666666667,405458.0
1400000US42003981800,42003981800,7.0,919.0,160679.857143
1400000US42007604000,42007604000,0.0,0.0,0.0
1400000US42007605002,42007605002,0.0,0.0,0.0
1400000US42125741100,42125741100,0.0,0.0,0.0
1400000US42129800300,42129800300,0.0,0.0,0.0
1400000US42003040500,42003040500,11.0,2791.82954545,48028.4545455
1400000US42003130200,42003130200,15.0,1482.16666667,27923.4
1400000US42003241200,42003241200,26.0,221.692307692,44566.4230769
1400000US42003470600,42003470600,22.0,1407.18181818,92955.2272727
1400000US42003483800,42003483800,38.0,1510.5245614,92600.1842105
1400000US42003512800,42003512800,15.0,3230.43333333,112375.4
1400000US42007603700,42007603700,0.0,0.0,0.0
1400000US42003040600,42003040600,3.0,913.666666667,100607.0
1400000US42003070300,42003070300,11.0,3141.45454545,50859.8181818
1400000US42003260900,42003260900,23.0,1169.23913043,59954.9565217
1400000US42003471000,42003471000,10.0,1136.0,79502.8
1400000US42003492800,42003492800,9.0,1432.77777778,204630.777778
1400000US42003508000,42003508000,23.0,1092.34782609,191285.26087
1400000US42003525200,42003525200,14.0,543.0,142320.428571
1400000US42003561100,42003561100,5.0,941.966666667,40002.6
1400000US42007601800,42007601800,0.0,0.0,0.0
1400000US42019912200,42019912200,0.0,0.0,0.0
1400000US42003488100,42003488100,8.0,536.4375,263735.0
1400000US42003424000,42003424000,37.0,3059.15315315,434115.864865
1400000US42003437000,42003437000,0.0,0.0,0.0
1400000US42129801100,42129801100,0.0,0.0,0.0
1400000US42003040200,42003040200,34.0,2588.70709752,23971.2941176
1400000US42003060300,42003060300,38.0,3476.49561404,40956.8684211
1400000US42003070500,42003070500,22.0,2969.77806474,23613.4545455
1400000US42003070800,42003070800,18.0,3475.6116823,31663.8888889
1400000US42003101600,42003101600,16.0,395.0,63981.9375
1400000US42003110200,42003110200,28.0,5003.0,52268.75
1400000US42003120300,42003120300,23.0,1242.26086957,60485.0434783
1400000US42003130600,42003130600,43.0,1616.37209302,52348.1627907
1400000US42003141000,42003141000,10.0,3999.65,108957.4
1400000US42003141300,42003141300,24.0,2061.76458333,43226.75
1400000US42003160900,42003160900,24.0,2929.65625,65713.5
1400000US42003191400,42003191400,21.0,612.619047619,31585.952381
1400000US42003191500,42003191500,41.0,1829.08517228,46316.6585366
1400000US42003191600,42003191600,19.0,6548.0,129731.833333
1400000US42003191900,42003191900,17.0,1540.52941176,61546.1764706
1400000US42003202300,42003202300,15.0,557.0,253894.533333
1400000US42003210700,42003210700,27.0,999.981481481,35976.2962963
1400000US42003220600,42003220600,17.0,1833.15098039,31529.7058824
1400000US42003250700,42003250700,15.0,2751.3,36811.2666667
1400000US42003260200,42003260200,27.0,2479.2962963,91209.4444444
1400000US42003260700,42003260700,12.0,3284.66666667,90561.3333333
1400000US42019912304,42019912304,0.0,0.0,0.0
1400000US42003271500,42003271500,35.0,2237.54285714,73230.9428571
1400000US42003290400,42003290400,22.0,3498.22727273,92735.8181818
1400000US42003310200,42003310200,25.0,1044.0,228982.32
1400000US42003320600,42003320600,17.0,1127.36470588,121498.823529
1400000US42003408002,42003408002,0.0,0.0,0.0
1400000US42003412002,42003412002,0.0,0.0,0.0
1400000US42003413400,42003413400,45.0,608.355555556,119076.666667
1400000US42003417100,42003417100,9.0,1225.5,333105.666667
1400000US42003419000,42003419000,31.0,1154.53010753,3186709.87097
1400000US42003421100,42003421100,51.0,3298.83986928,326194.27451
1400000US42003426700,42003426700,0.0,0.0,0.0
1400000US42003428100,42003428100,22.0,698.0,51523.2727273
1400000US42003429300,42003429300,0.0,0.0,0.0
1400000US42003431400,42003431400,10.0,2285.0,128980.2
1400000US42003432400,42003432400,21.0,1704.42857143,86726.9047619
1400000US42003447000,42003447000,0.0,0.0,0.0
1400000US42003451102,42003451102,3.0,1185.0,2688632.66667
1400000US42003451105,42003451105,1.0,906.0,29474635.0
1400000US42003453003,42003453003,8.0,857.0,13425909.0
1400000US42003460001,42003460001,38.0,673.210526316,278644.0
1400000US42003461000,42003461000,36.0,1185.0,323165.972222
1400000US42003465600,42003465600,24.0,909.833333333,103126.458333
1400000US42003469000,42003469000,40.0,2083.2,224691.775
1400000US42003472100,42003472100,6.0,7571.0,127056.166667
1400000US42003472400,42003472400,3.0,1825.0,245545.333333
1400000US42003473402,42003473402,1.0,557.0,190118.0
1400000US42003474203,42003474203,0.0,0.0,0.0
1400000US42003475303,42003475303,3.0,0.0,2762508.0
1400000US42003476200,42003476200,0.0,0.0,0.0
1400000US42003477300,42003477300,50.0,2070.47666667,136775.76
1400000US42003480300,42003480300,26.0,930.0,178402.615385
1400000US42003480400,42003480400,16.0,930.0,486588.5
1400000US42003481000,42003481000,21.0,3347.8015873,48881.8571429
1400000US42003484300,42003484300,21.0,2563.55952381,152582.238095
1400000US42003485000,42003485000,17.0,1828.85294118,101963.647059
1400000US42003486700,42003486700,22.0,2696.24242424,239153.136364
1400000US42003488200,42003488200,47.0,2019.43617021,98287.3191489
1400000US42003488300,42003488300,8.0,651.875,466791.25
1400000US42003488500,42003488500,34.0,2303.25490196,378159.117647
1400000US42003488600,42003488600,46.0,1454.01915114,290430.956522
1400000US42003494000,42003494000,1.0,1867.0,7300996.0
1400000US42003497000,42003497000,0.0,0.0,0.0
1400000US42003499400,42003499400,17.0,890.0,369942.882353
1400000US42003509400,42003509400,41.0,747.325609756,137223.121951
1400000US42003515200,42003515200,3.0,2474.0,84555.6666667
1400000US42003517000,42003517000,29.0,840.304597701,131741.344828
1400000US42003521200,42003521200,43.0,1212.02325581,377880.581395
1400000US42003521302,42003521302,10.0,833.3,667600.8
1400000US42003523400,42003523400,20.0,1345.675,194038.2
1400000US42003525100,42003525100,0.0,0.0,0.0
1400000US42003525300,42003525300,19.0,847.98245614,252873.684211
1400000US42003526201,42003526201,9.0,1655.5,1074072.88889
1400000US42003560400,42003560400,26.0,3518.06417798,35906.8846154
1400000US42003560600,42003560600,23.0,1815.97510219,24304.0
1400000US42003561900,42003561900,52.0,1294.3525641,49013.8076923
1400000US42003562600,42003562600,34.0,1223.78921569,118203.529412
1400000US42003563100,42003563100,19.0,1662.0,91981.7894737
1400000US42003563800,42003563800,14.0,1262.0,2571390.71429
1400000US42003564000,42003564000,0.0,0.0,0.0
1400000US42003981200,42003981200,2.0,10444.0,238749.5
1400000US42003982200,42003982200,14.0,3453.15263605,46906.9285714
1400000US42007603202,42007603202,0.0,0.0,0.0
1400000US42007603600,42007603600,0.0,0.0,0.0
1400000US42007603802,42007603802,0.0,0.0,0.0
1400000US42007603803,42007603803,0.0,0.0,0.0
1400000US42007603900,42007603900,0.0,0.0,0.0
1400000US42007604200,42007604200,6.0,1262.0,21149210.8333
1400000US42007604700,42007604700,0.0,0.0,0.0
1400000US42007604800,42007604800,0.0,0.0,0.0
1400000US42007604902,42007604902,0.0,0.0,0.0
1400000US42125715700,42125715700,0.0,0.0,0.0
1400000US42129800500,42129800500,0.0,0.0,0.0
1400000US42129801001,42129801001,0.0,0.0,0.0
1400000US42129801200,42129801200,0.0,0.0,0.0
1400000US42129801701,42129801701,0.0,0.0,0.0
1400000US42129803301,42129803301,0.0,0.0,0.0
1400000US42003459202,42003459202,0.0,0.0,0.0
1400000US42003460002,42003460002,37.0,954.567567568,238399.486486
1400000US42003462100,42003462100,29.0,962.655172414,144081.827586
1400000US42003464300,42003464300,31.0,1267.06451613,50822.2903226
1400000US42003465800,42003465800,8.0,1403.375,74544.875
1400000US42003468900,42003468900,12.0,1720.5,102827.083333
1400000US42003470300,42003470300,67.0,2127.09452736,133979.014925
1400000US42003470501,42003470501,8.0,2364.0,182455.375
1400000US42003470502,42003470502,34.0,2281.41176471,91602.0882353
1400000US42003472300,42003472300,2.0,1825.0,288797.0
1400000US42003473100,42003473100,20.0,1140.3,85492.5
1400000US42003473401,42003473401,2.0,10444.0,1035591.0
1400000US42003473601,42003473601,28.0,1591.23214286,94922.8928571
1400000US42003474101,42003474101,1.0,557.0,1866622.0
1400000US42003474201,42003474201,1.0,1825.0,42023650.0
1400000US42003474202,42003474202,0.0,0.0,0.0
1400000US42003475301,42003475301,11.0,0.0,902178.181818
1400000US42003475401,42003475401,2.0,294.0,1234017.0
1400000US42003476100,42003476100,16.0,3916.5,547921.5
1400000US42003477100,42003477100,14.0,294.0,274088.0
1400000US42003477200,42003477200,35.0,972.685714286,123065.542857
1400000US42003489001,42003489001,24.0,1414.52083333,337053.041667
1400000US42003489002,42003489002,5.0,1104.5,526090.0
1400000US42003490004,42003490004,0.0,0.0,0.0
1400000US42003491200,42003491200,24.0,1207.33333333,520717.75
1400000US42003495000,42003495000,0.0,0.0,0.0
1400000US42003496102,42003496102,0.0,0.0,0.0
1400000US42003499300,42003499300,11.0,890.0,413534.818182
1400000US42003504100,42003504100,41.0,1272.68292683,255733.02439
1400000US42003510000,42003510000,27.0,901.425925926,109593.148148
1400000US42003513800,42003513800,33.0,3546.75757576,66047.3636364
1400000US42003515100,42003515100,22.0,2987.78787879,66035.2727273
1400000US42003515401,42003515401,17.0,1385.29411765,92881.4705882
1400000US42003519000,42003519000,12.0,1324.13888889,687350.333333
1400000US42003521100,42003521100,3.0,2344.0,455165.666667
1400000US42003521301,42003521301,13.0,1500.38461538,677525.615385
1400000US42003521401,42003521401,2.0,1157.0,2290081.5
1400000US42003522000,42003522000,6.0,900.0,1022519.66667
1400000US42003523300,42003523300,35.0,1605.48571429,168262.342857
1400000US42003523501,42003523501,24.0,1483.375,226969.666667
1400000US42003523502,42003523502,30.0,1357.15,288733.1
1400000US42003523701,42003523701,4.0,861.0,1082927.5
1400000US42003524000,42003524000,9.0,543.0,192906.111111
1400000US42003526101,42003526101,13.0,967.0,451923.923077
1400000US42003526102,42003526102,0.0,0.0,0.0
1400000US42003526202,42003526202,31.0,1861.51612903,716604.387097
1400000US42003550900,42003550900,21.0,718.723809524,59643.7142857
1400000US42003551300,42003551300,12.0,1337.58333333,2079234.41667
1400000US42003552300,42003552300,3.0,485.0,106942.0
1400000US42003552400,42003552400,28.0,485.0,349594.678571
1400000US42003561000,42003561000,22.0,2299.81515152,44555.0
1400000US42003561400,42003561400,41.0,927.658536585,72578.7073171
1400000US42003561700,42003561700,12.0,930.0,161551.583333
1400000US42003562000,42003562000,23.0,3229.56521739,35226.4347826
1400000US42003562300,42003562300,58.0,1380.39655172,108078.172414
1400000US42003562500,42003562500,18.0,1275.24074074,181765.722222
1400000US42003563000,42003563000,37.0,1209.13513514,119406.378378
1400000US42003563300,42003563300,0.0,0.0,0.0
1400000US42003563900,42003563900,9.0,1308.40740741,366859.888889
1400000US42003564100,42003564100,1.0,857.0,595849.0
1400000US42003980300,42003980300,0.0,0.0,0.0
1400000US42003981000,42003981000,15.0,2815.96666667,86968.8
1400000US42003981100,42003981100,1.0,4332.0,451400.0
1400000US42019912303,42019912303,0.0,0.0,0.0
1400000US42019912401,42019912401,0.0,0.0,0.0
1400000US42019912402,42019912402,0.0,0.0,0.0
1400000US42003020300,42003020300,29.0,3307.87980296,76790.8965517
1400000US42003040400,42003040400,11.0,3714.08441558,22169.4545455
1400000US42003040900,42003040900,19.0,2408.78675856,48597.3684211
1400000US42003050600,42003050600,24.0,2578.83333333,41809.75
1400000US42003051100,42003051100,14.0,1607.0,28629.2142857
1400000US42003060500,42003060500,31.0,3225.73792766,32574.1935484
1400000US42003070900,42003070900,26.0,3346.06025641,36948.6153846
1400000US42003090100,42003090100,6.0,2788.5,124366.333333
1400000US42003090300,42003090300,21.0,2707.42857143,23972.6190476
1400000US42003101800,42003101800,15.0,3042.5,87276.8666667
1400000US42003111300,42003111300,22.0,2828.59090909,27478.3181818
1400000US42003111500,42003111500,48.0,3254.73802083,25547.6458333
1400000US42003130300,42003130300,27.0,2735.08894768,29611.7037037
1400000US42003140100,42003140100,30.0,3279.77222222,72037.6
1400000US42003140400,42003140400,16.0,2433.4375,78066.5625
1400000US42003140600,42003140600,24.0,2068.00694444,64067.1666667
1400000US42003151600,42003151600,21.0,1031.0,62558.8571429
1400000US42003160800,42003160800,26.0,3225.0,87745.8846154
1400000US42003170600,42003170600,25.0,5166.52,51930.48
1400000US42003190300,42003190300,20.0,637.2,100706.05
1400000US42003262000,42003262000,35.0,1242.8,55480.6857143
1400000US42003270400,42003270400,11.0,2189.72727273,51091.8181818
1400000US42003270800,42003270800,25.0,2277.88,105531.24
1400000US42003281400,42003281400,13.0,1149.61538462,98991.0769231
1400000US42003290100,42003290100,14.0,5343.21428571,117519.642857
1400000US42003290200,42003290200,12.0,5638.41666667,150158.583333
1400000US42003320400,42003320400,1.0,1154.0,107740.0
1400000US42003320700,42003320700,13.0,964.553846154,115914.384615
1400000US42003401300,42003401300,10.0,669.0,925375.0
1400000US42003404000,42003404000,20.0,1225.5,4169501.55
1400000US42003406000,42003406000,0.0,0.0,0.0
1400000US42003407002,42003407002,0.0,0.0,0.0
1400000US42003409000,42003409000,0.0,0.0,0.0
1400000US42003411000,42003411000,0.0,0.0,0.0
1400000US42003413100,42003413100,1.0,1214.0,24620908.0
1400000US42003413300,42003413300,3.0,1295.33333333,2006573.66667
1400000US42003413500,42003413500,63.0,381.206349206,946225.206349
1400000US42003414101,42003414101,0.0,0.0,0.0
1400000US42003414200,42003414200,15.0,700.0,1717934.73333
1400000US42003417200,42003417200,12.0,1225.5,1009964.91667
1400000US42003420000,42003420000,13.0,1782.0,163550.846154
1400000US42003421200,42003421200,0.0,0.0,0.0
1400000US42003426300,42003426300,23.0,700.0,289004.73913
1400000US42003426400,42003426400,28.0,700.0,822127.678571
1400000US42003427200,42003427200,7.0,1136.0,571125.571429
1400000US42003428200,42003428200,42.0,469.714285714,107098.452381
1400000US42003429100,42003429100,35.0,1222.47619048,195270.457143
1400000US42003429700,42003429700,20.0,1055.15,191646.85
1400000US42003431100,42003431100,25.0,1581.2,81040.24
1400000US42003431500,42003431500,14.0,2206.78571429,108145.714286
1400000US42003439000,42003439000,0.0,0.0,0.0
1400000US42003449000,42003449000,0.0,0.0,0.0
1400000US42003450800,42003450800,14.0,1185.0,467770.785714
1400000US42003451101,42003451101,0.0,0.0,0.0
1400000US42003451300,42003451300,1.0,1185.0,3316066.0
1400000US42003453004,42003453004,26.0,857.0,2696901.11538
1400000US42003456003,42003456003,0.0,0.0,0.0
1400000US42003459201,42003459201,50.0,1077.02666667,1058093.58
1400000US42125746100,42125746100,0.0,0.0,0.0
1400000US42125746302,42125746302,0.0,0.0,0.0
1400000US42125771100,42125771100,0.0,0.0,0.0
1400000US42129800600,42129800600,0.0,0.0,0.0
1400000US42129800700,42129800700,4.0,1782.0,5663477.0
1400000US42129801002,42129801002,0.0,0.0,0.0
1400000US42129802101,42129802101,0.0,0.0,0.0
1400000US42003491101,42003491101,8.0,1867.0,3476364.0
1400000US42003496101,42003496101,0.0,0.0,0.0
1400000US42003496200,42003496200,0.0,0.0,0.0
1400000US42003512000,42003512000,25.0,619.86,101728.12
1400000US42003514000,42003514000,21.0,2159.91269841,75301.8095238
1400000US42003515300,42003515300,15.0,1647.27777778,45657.3333333
1400000US42003520001,42003520001,18.0,1582.5,354926.5
1400000US42003020100,42003020100,106.0,2698.25062971,29207.6886792
1400000US42003080200,42003080200,3.0,3336.0,64984.0
1400000US42003100500,42003100500,14.0,2624.5,62014.3571429
1400000US42003101100,42003101100,27.0,2929.98148148,79620.0740741
1400000US42003130100,42003130100,20.0,1361.625,60832.4
1400000US42003140200,42003140200,20.0,2666.64166667,52691.9
1400000US42003141100,42003141100,3.0,380.5,404481.333333
1400000US42003151700,42003151700,59.0,1424.83446328,44313.8983051
1400000US42003170200,42003170200,36.0,5091.29861111,42955.3333333
1400000US42003520002,42003520002,1.0,900.0,53888.0
1400000US42003521402,42003521402,3.0,900.0,989298.0
1400000US42003523702,42003523702,55.0,1592.90909091,331600.0
1400000US42003526301,42003526301,0.0,0.0,0.0
1400000US42003561600,42003561600,8.0,3225.0,121422.125
1400000US42003562900,42003562900,28.0,1330.3452381,189059.285714
1400000US42003563200,42003563200,31.0,1381.76236559,48447.7741935
1400000US42003564200,42003564200,6.0,1018.0,12950393.1667
1400000US42003191700,42003191700,24.0,1460.85833333,109230.791667
1400000US42003202200,42003202200,34.0,1148.0,49393.7058824
1400000US42003240600,42003240600,39.0,807.128205128,64368.8717949
1400000US42003261200,42003261200,25.0,665.946666667,58431.44
1400000US42003261400,42003261400,48.0,2126.23958333,30922.0
1400000US42003401100,42003401100,29.0,669.0,1402644.2069
1400000US42003407001,42003407001,0.0,0.0,0.0
1400000US42003413202,42003413202,0.0,0.0,0.0
1400000US42003415001,42003415001,0.0,0.0,0.0
1400000US42003422000,42003422000,4.0,4275.0,3313170.25
1400000US42003564400,42003564400,22.0,1018.0,799663.227273
1400000US42003980700,42003980700,17.0,3112.00759175,75347.5882353
1400000US42003427100,42003427100,1.0,117.0,887410.0
1400000US42003429202,42003429202,41.0,301.756097561,274547.512195
1400000US42003429600,42003429600,11.0,2285.0,256043.636364
1400000US42003434000,42003434000,15.0,911.0,582607.6
1400000US42003435000,42003435000,17.0,969.5,1294764.17647
1400000US42003450700,42003450700,7.0,1185.0,884471.857143
1400000US42003451104,42003451104,0.0,0.0,0.0
1400000US42003456001,42003456001,1.0,1136.0,144974048.0
1400000US42003459101,42003459101,7.0,664.0,1393893.28571
1400000US42003459102,42003459102,11.0,1410.0,1007695.36364
1400000US42007603801,42007603801,0.0,0.0,0.0
1400000US42007604500,42007604500,0.0,0.0,0.0
1400000US42007604901,42007604901,0.0,0.0,0.0
1400000US42007605700,42007605700,0.0,0.0,0.0
1400000US42003470400,42003470400,10.0,1825.0,493443.3
1400000US42003473300,42003473300,8.0,4316.625,153165.75
1400000US42003474102,42003474102,0.0,0.0,0.0
1400000US42003475402,42003475402,2.0,0.0,10346704.0
1400000US42003480102,42003480102,16.0,294.0,213888.6875
1400000US42003480200,42003480200,15.0,3079.68888889,253448.933333
1400000US42003482500,42003482500,4.0,2334.625,515602.25
1400000US42003484500,42003484500,16.0,667.0,233616.875
1400000US42003488400,42003488400,28.0,1047.66071429,147845.928571
1400000US42003490003,42003490003,14.0,294.0,1724567.21429
1400000US42125714000,42125714000,0.0,0.0,0.0
1400000US42129800800,42129800800,0.0,0.0,0.0
1400000US42129800900,42129800900,0.0,0.0,0.0
1400000US42129801300,42129801300,0.0,0.0,0.0
1400000US42129802103,42129802103,0.0,0.0,0.0
1400000US42129803302,42129803302,0.0,0.0,0.0
1400000US42003445500,42003445500,26.0,1241.26923077,969506.461538
1400000US42003458000,42003458000,22.0,1656.96969697,612214.136364
1400000US42003475200,42003475200,6.0,185.666666667,3177839.16667
1400000US42003487000,42003487000,9.0,1955.0,403114.0
1400000US42003492700,42003492700,17.0,947.470588235,1369258.05882
1400000US42003523100,42003523100,46.0,958.02173913,153412.347826
1400000US42003551200,42003551200,26.0,752.0,76223.0384615
1400000US42003562400,42003562400,56.0,2087.99464286,47971.8035714
1400000US42003980400,42003980400,3.0,3484.0,130499.333333
1400000US42003080900,42003080900,23.0,2741.97826087,23899.4782609
1400000US42003180300,42003180300,25.0,1908.64,39173.6
1400000US42003191800,42003191800,20.0,1422.0,185379.75
1400000US42003270300,42003270300,21.0,2151.42857143,73843.1904762
1400000US42003405000,42003405000,0.0,0.0,0.0
1400000US42003414102,42003414102,8.0,117.0,13117694.875
1400000US42003429201,42003429201,37.0,377.351351351,168047.621622
1400000US42007604600,42007604600,0.0,0.0,0.0
1400000US42003120800,42003120800,46.0,1814.04399586,25331.5652174
1400000US42003503002,42003503002,7.0,1285.42857143,1378952.14286
1400000US42003101400,42003101400,36.0,2820.88888889,70348.8611111
1400000US42003120700,42003120700,21.0,2938.71428571,37990.3333333
1400000US42003141400,42003141400,17.0,2059.29607843,151554.058824
1400000US42003464400,42003464400,32.0,960.375,107325.09375
1400000US42003473500,42003473500,22.0,557.0,265467.045455
1400000US42003475102,42003475102,2.0,0.0,943466.5
1400000US42003478100,42003478100,26.0,3588.92307692,90169.1153846
1400000US42007603000,42007603000,0.0,0.0,0.0
1400000US42003523200,42003523200,37.0,1604.37837838,99522.3783784
1400000US42003551900,42003551900,34.0,1479.53088235,126210.176471
1400000US42003562700,42003562700,43.0,2112.81445183,33257.0930233
1400000US42003564500,42003564500,6.0,1867.0,1012790.0
1400000US42003516200,42003516200,10.0,2814.2,81693.9
1400000US42003300100,42003300100,30.0,3059.40555556,32753.2333333
1400000US42003403500,42003403500,32.0,1016.8125,1395396.46875
1400000US42003412001,42003412001,0.0,0.0,0.0
1400000US42003415002,42003415002,0.0,0.0,0.0
1400000US42003429400,42003429400,0.0,0.0,0.0
1400000US42003452000,42003452000,5.0,1071.8,5022204.6
1400000US42125741300,42125741300,0.0,0.0,0.0
1400000US42129802301,42129802301,0.0,0.0,0.0
1400000US42129803200,42129803200,0.0,0.0,0.0
